epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,3.21085,1.71016,3.9581,2.13557,0.00533,1,0.23122,0.14426,0.4265,4.24775,1.48888,0,0,0
2,6.24843,1.53848,3.91488,2.11524,0.00532,1,0.23331,0.14579,0.42338,4.2572,1.48032,7.56311e-06,7.56311e-06,7.56311e-06
3,9.23712,1.44884,4.00688,1.84168,0.00541,1,0.23873,0.15181,0.41363,4.25849,1.45749,1.48725e-05,1.48725e-05,1.48725e-05
4,11.9759,1.45003,3.65442,1.85398,0.00551,1,0.24728,0.16305,0.41323,4.25513,1.45066,2.1928e-05,2.1928e-05,2.1928e-05
5,14.5519,1.2897,3.77748,1.75773,0.00565,1,0.32248,0.23191,0.39899,4.25468,1.43085,2.87298e-05,2.87298e-05,2.87298e-05
6,17.3477,1.19698,3.72595,1.74941,0.00587,1,0.32348,0.23393,0.40713,4.24755,1.43329,3.52779e-05,3.52779e-05,3.52779e-05
7,20.1846,1.15089,3.66256,1.68279,0.00624,1,0.21232,0.14745,0.40955,4.24553,1.42179,4.15721e-05,4.15721e-05,4.15721e-05
8,22.8942,1.03646,3.4646,1.52085,0.00664,1,0.28386,0.21732,0.40495,4.23291,1.43677,4.76126e-05,4.76126e-05,4.76126e-05
9,25.6808,1.01902,3.58741,1.7167,0.00693,1,0.27648,0.22583,0.40909,4.22308,1.43482,5.33994e-05,5.33994e-05,5.33994e-05
10,28.4122,0.98412,3.57991,1.56896,0.00722,1,0.28368,0.24061,0.42965,4.2253,1.42274,5.89323e-05,5.89323e-05,5.89323e-05
11,31.1302,0.82492,3.55183,1.50865,0.00738,1,0.31017,0.25181,0.46827,4.23658,1.44085,6.42115e-05,6.42115e-05,6.42115e-05
12,34.008,0.68633,3.397,1.30838,0.00724,1,0.31947,0.24923,0.4958,4.2524,1.47997,6.92369e-05,6.92369e-05,6.92369e-05
13,36.8723,0.85277,3.43431,1.46097,0.00701,1,0.30851,0.23222,0.50076,4.2576,1.51186,7.40086e-05,7.40086e-05,7.40086e-05
14,39.6202,0.67503,3.48208,1.34703,0.00707,1,0.32409,0.24477,0.50898,4.27108,1.56188,7.85264e-05,7.85264e-05,7.85264e-05
15,42.5552,0.85768,3.41232,1.45173,0.00717,1,0.29709,0.21242,0.50729,4.2792,1.56398,8.27905e-05,8.27905e-05,8.27905e-05
16,45.3925,0.64891,3.35104,1.35946,0.00712,1,0.36049,0.25822,0.50917,4.25941,1.55781,8.68009e-05,8.68009e-05,8.68009e-05
17,48.4446,0.78002,3.3406,1.33767,0.00701,1,0.40932,0.30082,0.50083,4.23548,1.55209,9.05574e-05,9.05574e-05,9.05574e-05
18,51.2346,0.71584,3.32892,1.39391,0.00701,1,0.40932,0.30082,0.50083,4.23548,1.55209,9.40602e-05,9.40602e-05,9.40602e-05
19,56.3759,0.63949,3.21022,1.31686,0.00684,1,0.41287,0.28786,0.47207,4.22662,1.51226,9.73093e-05,9.73093e-05,9.73093e-05
20,62.9825,0.61329,3.30952,1.32057,0.00684,1,0.41287,0.28786,0.47207,4.22662,1.51226,0.000100305,0.000100305,0.000100305
21,68.9697,0.66149,3.12859,1.26457,0.00663,1,0.41471,0.28813,0.46782,4.20287,1.50051,0.000103046,0.000103046,0.000103046
22,75.7579,0.74831,3.09631,1.27829,0.00663,1,0.41471,0.28813,0.46782,4.20287,1.50051,0.000105534,0.000105534,0.000105534
23,82.5371,0.60794,3.1558,1.39227,0.00638,1,0.39682,0.2779,0.45427,4.18316,1.4799,0.000107768,0.000107768,0.000107768
24,88.575,0.70535,3.28715,1.33178,0.00638,1,0.39682,0.2779,0.45427,4.18316,1.4799,0.000109748,0.000109748,0.000109748
25,95.5091,0.53911,3.18571,1.22584,0.00627,1,0.39813,0.28816,0.44115,4.15103,1.45151,0.000111474,0.000111474,0.000111474
26,102.206,0.60535,3.12874,1.26401,0.00627,1,0.39813,0.28816,0.44115,4.15103,1.45151,0.000112947,0.000112947,0.000112947
27,106.692,0.58574,3.16802,1.3393,0.00623,1,0.41174,0.28991,0.42416,4.14194,1.38202,0.000114166,0.000114166,0.000114166
28,109.265,0.77785,3.04909,1.43189,0.00623,1,0.41174,0.28991,0.42416,4.14194,1.38202,0.000115131,0.000115131,0.000115131
29,111.914,0.6561,3.02715,1.29954,0.00617,1,0.42371,0.33936,0.43217,4.12985,1.338,0.000115842,0.000115842,0.000115842
30,114.535,0.51427,3.09363,1.24441,0.00617,1,0.42371,0.33936,0.43217,4.12985,1.338,0.0001163,0.0001163,0.0001163
31,119.619,0.65644,3.04693,1.30322,0.00589,1,0.46372,0.37405,0.42078,4.08809,1.28241,0.000116504,0.000116504,0.000116504
32,124.054,0.60491,2.77053,1.25213,0.00589,1,0.46372,0.37405,0.42078,4.08809,1.28241,0.000116454,0.000116454,0.000116454
33,128.04,0.46996,2.85594,1.14103,0.00576,1,0.5086,0.42806,0.41882,4.05992,1.28304,0.00011615,0.00011615,0.00011615
34,133.874,0.52182,2.79241,1.13783,0.00576,1,0.5086,0.42806,0.41882,4.05992,1.28304,0.000115592,0.000115592,0.000115592
35,140.987,0.57721,3.13452,1.41563,0.00559,1,0.45964,0.38999,0.42004,4.02765,1.28629,0.000114781,0.000114781,0.000114781
36,144.36,0.74378,3.09678,1.45353,0.00559,1,0.45964,0.38999,0.42004,4.02765,1.28629,0.000113716,0.000113716,0.000113716
37,146.726,0.58678,3.02805,1.28774,0.00552,1,0.46433,0.3711,0.4258,4.01753,1.28535,0.000112397,0.000112397,0.000112397
38,149.298,0.6033,2.85788,1.35839,0.00552,1,0.46433,0.3711,0.4258,4.01753,1.28535,0.000110824,0.000110824,0.000110824
39,152.111,0.52798,2.73151,1.11648,0.00557,1,0.45819,0.39063,0.43101,3.979,1.26057,0.000108998,0.000108998,0.000108998
40,154.944,0.5572,2.79055,1.2146,0.00557,1,0.45819,0.39063,0.43101,3.979,1.26057,0.000106918,0.000106918,0.000106918
41,157.695,0.55051,2.63815,1.1738,0.00545,1,0.50579,0.43512,0.42901,3.954,1.21852,0.000104584,0.000104584,0.000104584
42,160.58,0.62855,2.70762,1.30397,0.00545,1,0.50579,0.43512,0.42901,3.954,1.21852,0.000101996,0.000101996,0.000101996
43,163.513,0.67371,2.52301,1.28931,0.00555,1,0.52251,0.46446,0.41531,3.92862,1.20312,9.91549e-05,9.91549e-05,9.91549e-05
44,166.311,0.82724,2.74249,1.48484,0.00555,1,0.52251,0.46446,0.41531,3.92862,1.20312,9.60596e-05,9.60596e-05,9.60596e-05
45,169.263,0.49735,2.87333,1.21225,0.00561,1,0.64491,0.54518,0.39949,3.88246,1.18541,9.27106e-05,9.27106e-05,9.27106e-05
46,172.007,0.50121,2.57366,1.25277,0.00561,1,0.64491,0.54518,0.39949,3.88246,1.18541,8.91079e-05,8.91079e-05,8.91079e-05
47,174.846,0.75872,2.73294,1.37367,0.00576,1,0.70019,0.5972,0.39033,3.839,1.17273,8.52513e-05,8.52513e-05,8.52513e-05
48,177.533,0.80208,2.92631,1.44173,0.00576,1,0.70019,0.5972,0.39033,3.839,1.17273,8.1141e-05,8.1141e-05,8.1141e-05
49,180.581,0.6782,2.51954,1.35511,0.00577,1,0.77389,0.67992,0.3845,3.80505,1.15806,7.6777e-05,7.6777e-05,7.6777e-05
50,183.368,0.55742,2.53966,1.2204,0.00577,1,0.77389,0.67992,0.3845,3.80505,1.15806,7.21591e-05,7.21591e-05,7.21591e-05
51,186.194,0.43003,2.74216,1.25707,0.00586,1,0.78968,0.68465,0.37558,3.77813,1.15788,6.72875e-05,6.72875e-05,6.72875e-05
52,188.979,0.97655,3.05053,1.47118,0.00586,1,0.78968,0.68465,0.37558,3.77813,1.15788,6.21621e-05,6.21621e-05,6.21621e-05
53,191.75,0.58276,2.81743,1.2834,0.00586,1,0.78968,0.68465,0.37558,3.77813,1.15788,5.6783e-05,5.6783e-05,5.6783e-05
54,194.58,0.96481,3.03236,1.5889,0.0059,1,0.84496,0.72519,0.37277,3.73649,1.13925,5.115e-05,5.115e-05,5.115e-05
55,197.426,0.62109,2.88072,1.38984,0.0059,1,0.84496,0.72519,0.37277,3.73649,1.13925,4.52633e-05,4.52633e-05,4.52633e-05
56,200.109,0.63888,3.02475,1.32716,0.0059,1,0.84496,0.72519,0.37277,3.73649,1.13925,3.91229e-05,3.91229e-05,3.91229e-05
57,202.954,0.72773,2.84594,1.40097,0.00589,1,0.84496,0.71045,0.35601,3.68995,1.13549,3.27286e-05,3.27286e-05,3.27286e-05
58,205.924,0.52486,2.87912,1.31449,0.00589,1,0.84496,0.71045,0.35601,3.68995,1.13549,2.60806e-05,2.60806e-05,2.60806e-05
59,208.785,0.678,2.96446,1.40604,0.00589,1,0.84496,0.71045,0.35601,3.68995,1.13549,1.91789e-05,1.91789e-05,1.91789e-05
60,211.631,0.55977,2.8426,1.42045,0.0058,1,0.90024,0.77126,0.34975,3.64134,1.13902,1.20233e-05,1.20233e-05,1.20233e-05
