epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,2.47706,1.98719,2.70165,1.75404,0.00714,1,0.43878,0.25479,1.40639,2.66827,1.41707,0,0,0
2,4.69985,2.02687,2.7625,1.95658,0.00714,1,0.44627,0.26081,1.38047,2.66796,1.40272,1.9505e-05,1.9505e-05,1.9505e-05
3,6.64865,1.75079,2.73185,1.62609,0.00714,1,0.51712,0.28718,1.30644,2.66637,1.3528,3.802e-05,3.802e-05,3.802e-05
4,8.44088,2.06113,2.67826,1.9371,0.00714,1,0.55774,0.30635,1.26214,2.67917,1.32338,5.5545e-05,5.5545e-05,5.5545e-05
5,10.2457,1.70144,2.64764,1.67101,0.00714,1,0.56935,0.29228,1.17768,2.67559,1.27852,7.208e-05,7.208e-05,7.208e-05
6,12.0367,1.47528,2.46155,1.63761,0.00714,1,0.53385,0.29226,1.18714,2.67367,1.30674,8.7625e-05,8.7625e-05,8.7625e-05
7,13.9171,1.43568,2.48383,1.30783,0.00714,1,0.54272,0.27597,1.20164,2.67027,1.31862,0.00010218,0.00010218,0.00010218
8,15.7577,1.40277,2.50904,1.37,0.00714,1,0.60494,0.29712,1.19304,2.67218,1.33421,0.000115745,0.000115745,0.000115745
9,17.6746,1.41153,2.26067,1.41419,0.00714,1,0.62655,0.32983,1.15075,2.65057,1.31208,0.00012832,0.00012832,0.00012832
10,19.419,1.41876,2.02951,1.35469,0.00714,1,0.718,0.41412,1.12062,2.62278,1.30284,0.000139905,0.000139905,0.000139905
11,21.1914,1.54228,1.99466,1.53049,0.00714,1,0.81855,0.49682,1.12448,2.57116,1.28807,0.0001505,0.0001505,0.0001505
12,22.9411,1.21979,1.83319,1.31457,0.00714,1,0.85042,0.51557,1.09216,2.50898,1.20756,0.000160105,0.000160105,0.000160105
13,24.6252,1.33013,1.94392,1.45977,0.00714,1,0.87278,0.56614,1.08974,2.43033,1.15514,0.00016872,0.00016872,0.00016872
14,26.3361,1.2777,1.66293,1.39622,0.00714,1,0.92428,0.6312,1.00676,2.34696,1.10081,0.000176345,0.000176345,0.000176345
15,28.0724,1.14103,1.46911,1.19695,0.01645,1,0.93455,0.69093,0.9702,2.25783,1.07759,0.00018298,0.00018298,0.00018298
16,29.8404,1.34267,1.42949,1.35533,0.9121,0.69319,0.93444,0.6836,0.9716,2.19152,1.08524,0.000188625,0.000188625,0.000188625
17,31.5085,1.18179,1.71279,1.31924,0.8678,0.86667,0.94796,0.65788,1.04945,2.18827,1.12482,0.00019328,0.00019328,0.00019328
18,33.359,0.98805,1.29732,1.13281,0.8678,0.86667,0.94796,0.65788,1.04945,2.18827,1.12482,0.000196945,0.000196945,0.000196945
19,35.167,1.04823,1.35224,1.20054,0.76202,0.93333,0.94946,0.62662,1.11422,2.17075,1.176,0.00019962,0.00019962,0.00019962
20,36.9196,1.19842,1.23273,1.19991,0.76202,0.93333,0.94946,0.62662,1.11422,2.17075,1.176,0.000201305,0.000201305,0.000201305
21,38.609,1.12313,1.271,1.18635,0.91873,0.66667,0.962,0.66036,1.08918,2.13362,1.14897,0.000202,0.000202,0.000202
22,40.2691,1.07237,1.266,1.09157,0.91873,0.66667,0.962,0.66036,1.08918,2.13362,1.14897,0.000201705,0.000201705,0.000201705
23,41.9156,0.80825,1.26273,1.08077,1,0.81017,0.985,0.68957,1.00188,2.12128,1.11353,0.00020042,0.00020042,0.00020042
24,43.5376,0.9992,1.26775,1.20376,1,0.81017,0.985,0.68957,1.00188,2.12128,1.11353,0.000198145,0.000198145,0.000198145
25,45.2088,1.14332,1.15949,1.172,1,0.67644,0.985,0.69926,0.9846,2.10264,1.1081,0.00019488,0.00019488,0.00019488
26,46.9033,1.05985,1.13234,1.12368,1,0.67644,0.985,0.69926,0.9846,2.10264,1.1081,0.000190625,0.000190625,0.000190625
27,48.8639,1.03928,1.17334,1.1565,1,0.46278,0.99125,0.67317,0.95471,2.07992,1.09243,0.00018538,0.00018538,0.00018538
28,50.7398,0.88819,1.11593,1.10808,1,0.46278,0.99125,0.67317,0.95471,2.07992,1.09243,0.000179145,0.000179145,0.000179145
29,52.434,1.01568,1.21149,1.19835,1,0.54625,0.995,0.69738,0.93636,2.07752,1.08335,0.00017192,0.00017192,0.00017192
30,54.1845,1.0833,1.13631,1.10733,1,0.54625,0.995,0.69738,0.93636,2.07752,1.08335,0.000163705,0.000163705,0.000163705
31,55.9325,0.98606,1.35266,1.09648,1,0.57105,0.995,0.69832,0.8958,2.05758,1.06429,0.0001545,0.0001545,0.0001545
32,57.5874,0.80247,1.32133,1.00027,1,0.57105,0.995,0.69832,0.8958,2.05758,1.06429,0.000144305,0.000144305,0.000144305
33,59.2678,0.84955,1.28075,1.06856,1,0.68518,0.995,0.73383,0.86684,2.02706,1.04578,0.00013312,0.00013312,0.00013312
34,60.9244,0.83696,1.22775,0.9752,1,0.68518,0.995,0.73383,0.86684,2.02706,1.04578,0.000120945,0.000120945,0.000120945
35,62.7628,0.72305,1.26393,1.05065,1,0.83546,0.995,0.74169,0.84977,1.97777,1.0255,0.00010778,0.00010778,0.00010778
36,64.8598,0.72803,1.10799,0.96603,1,0.83546,0.995,0.74169,0.84977,1.97777,1.0255,9.3625e-05,9.3625e-05,9.3625e-05
37,66.9722,0.75653,1.31668,0.98459,1,0.94692,0.995,0.76078,0.80685,1.92981,1.0052,7.848e-05,7.848e-05,7.848e-05
38,68.7721,0.79015,1.08371,1.0573,1,0.94692,0.995,0.76078,0.80685,1.92981,1.0052,6.2345e-05,6.2345e-05,6.2345e-05
39,71.0966,0.72001,1.02273,1.04849,0.99501,1,0.995,0.77736,0.78246,1.88869,0.99398,4.522e-05,4.522e-05,4.522e-05
40,73.6489,0.81506,1.14238,0.9993,0.99501,1,0.995,0.77736,0.78246,1.88869,0.99398,2.7105e-05,2.7105e-05,2.7105e-05
